Deprecated_Index,NAME,HIS,MBTI,source,url
7480,Ben Gazzara,Explorers,ESTP,https://boo.world/database/profile/2040/ben-gazzara-personality-type,boo.world
7481,Harry Connick Jr.,Wizards,ENTP,https://boo.world/database/profile/7370/harry-connick-jr-personality-type,boo.world
7482,Pisay Pao,Wizards,ENTJ,https://boo.world/database/profile/15702/pisay-pao-personality-type,boo.world
7483,Eric Allan Kramer,Wizards,ENTP,https://boo.world/database/profile/6013/eric-allan-kramer-personality-type,boo.world
7484,Honeysuckle Weeks,Explorers,ISTP,https://boo.world/database/profile/7617/honeysuckle-weeks-personality-type,boo.world
7485,Tim Curry,Healers,ENFP,https://boo.world/database/profile/18899/tim-curry-personality-type,boo.world
7486,Jessica Brooks,Knights,ISTJ,https://boo.world/database/profile/9026/jessica-brooks-personality-type,boo.world
7487,Beverley Elliott,Knights,ISTJ,https://boo.world/database/profile/2189/beverley-elliott-personality-type,boo.world
7488,John C. Reilly,Healers,ENFP,https://boo.world/database/profile/9490/john-c-reilly-personality-type,boo.world
7489,Jacob Lofland,Explorers,ISTP,https://boo.world/database/profile/8089/jacob-lofland-personality-type,boo.world
7490,Micheal Ward,Healers,INFP,https://boo.world/database/profile/13864/micheal-ward-personality-type,boo.world
7491,Christopher Gorham,Wizards,ENTP,https://boo.world/database/profile/3741/christopher-gorham-personality-type,boo.world
7492,Sebastián Yatra,Healers,ENFP,https://boo.world/database/profile/17507/sebasti%C3%A1n-yatra-personality-type,boo.world
7493,Ben Robinson,Wizards,ENTP,https://boo.world/database/profile/2061/ben-robinson-personality-type,boo.world
7494,Gabrielle Drake,Wizards,INTP,https://boo.world/database/profile/6595/gabrielle-drake-personality-type,boo.world
7495,Mackenzie Lansing,Knights,ESFJ,https://boo.world/database/profile/12485/mackenzie-lansing-personality-type,boo.world
7496,Christian Bale,Explorers,ISTP,https://boo.world/database/profile/3630/christian-bale-personality-type,boo.world
7497,Joshua Orpin,Wizards,INTJ,https://boo.world/database/profile/10036/joshua-orpin-personality-type,boo.world
7498,Ciara,Explorers,ISFP,https://boo.world/database/profile/3799/ciara-personality-type,boo.world
7499,Snoop Dogg,Explorers,ISTP,https://boo.world/database/profile/17905/snoop-dogg-personality-type,boo.world
7500,Jack Carter,Knights,ESTJ,https://boo.world/database/profile/7978/jack-carter-personality-type,boo.world
7501,Brian Huskey,Explorers,ISTP,https://boo.world/database/profile/2621/brian-huskey-personality-type,boo.world
7502,Tomas Arana,Knights,ESFJ,https://boo.world/database/profile/19146/tomas-arana-personality-type,boo.world
7503,Katie Crown,Explorers,ISFP,https://boo.world/database/profile/10676/katie-crown-personality-type,boo.world
7504,Sam Claflin,Knights,ESFJ,https://boo.world/database/profile/17043/sam-claflin-personality-type,boo.world
7506,Steve Downes,Explorers,ESTP,https://boo.world/database/profile/18212/steve-downes-personality-type,boo.world
7507,Stephen Boss,Explorers,ISFP,https://boo.world/database/profile/18126/stephen-boss-personality-type,boo.world
7508,Michael Lehmann,Knights,ISFJ,https://boo.world/database/profile/13741/michael-lehmann-personality-type,boo.world
7509,Matt Barr,Healers,ENFP,https://boo.world/database/profile/13179/matt-barr-personality-type,boo.world
7510,Rebekah Wainwright,Healers,ENFP,https://boo.world/database/profile/16063/rebekah-wainwright-personality-type,boo.world
7512,Camille Griffin,Wizards,ENTP,https://boo.world/database/profile/2943/camille-griffin-personality-type,boo.world
7513,Kathryn Erbe,Healers,INFJ,https://boo.world/database/profile/10639/kathryn-erbe-personality-type,boo.world
7514,Teressa Liane,Healers,ENFJ,https://boo.world/database/profile/18730/teressa-liane-personality-type,boo.world
7515,Doro Merande,Healers,INFP,https://boo.world/database/profile/5336/doro-merande-personality-type,boo.world
7516,Rowena King,Wizards,INTP,https://boo.world/database/profile/16815/rowena-king-personality-type,boo.world
7517,Charles Michael Davis,Knights,ESFJ,https://boo.world/database/profile/3362/charles-michael-davis-personality-type,boo.world
7519,John Bennett Perry,Explorers,ISTP,https://boo.world/database/profile/9478/john-bennett-perry-personality-type,boo.world
7520,Amy Wren,Explorers,ISTP,https://boo.world/database/profile/976/amy-wren-personality-type,boo.world
7521,Metin Akdülger,Healers,INFP,https://boo.world/database/profile/13584/metin-akd%C3%BClger-personality-type,boo.world
7522,Grace Calder,Healers,ENFP,https://boo.world/database/profile/7058/grace-calder-personality-type,boo.world
7523,Jeremy Sumpter,Healers,ENFP,https://boo.world/database/profile/8942/jeremy-sumpter-personality-type,boo.world
7524,Seth Numrich,Wizards,ENTJ,https://boo.world/database/profile/17548/seth-numrich-personality-type,boo.world
7525,BarBara Luna,Knights,ESFJ,https://boo.world/database/profile/1886/barbara-luna-personality-type,boo.world
7526,Hallea Jones,Wizards,INTP,https://boo.world/database/profile/7264/hallea-jones-personality-type,boo.world
7527,Latonya Williams,Explorers,ISFP,https://boo.world/database/profile/11480/latonya-williams-personality-type,boo.world
7528,KiKi Layne,Explorers,ESFP,https://boo.world/database/profile/11079/kiki-layne-personality-type,boo.world
7529,Asa Butterfield,Healers,INFJ,https://boo.world/database/profile/1646/asa-butterfield-personality-type,boo.world
7530,Fiona O'Shaughnessy,Wizards,INTJ,https://boo.world/database/profile/6354/fiona-oshaughnessy-personality-type,boo.world
7531,Jennifer Salt,Healers,INFP,https://boo.world/database/profile/8867/jennifer-salt-personality-type,boo.world
7532,Ariela Barer,Wizards,ENTJ,https://boo.world/database/profile/1583/ariela-barer-personality-type,boo.world
7533,Madison Beer,Healers,ENFJ,https://boo.world/database/profile/12536/madison-beer-personality-type,boo.world
7534,Tyler Hoechlin,Explorers,ISTP,https://boo.world/database/profile/19387/tyler-hoechlin-personality-type,boo.world
7535,Zoe Buckman,Wizards,INTP,https://boo.world/database/profile/20132/zoe-buckman-personality-type,boo.world
7536,Seann William Scott,Explorers,ISTP,https://boo.world/database/profile/17490/seann-william-scott-personality-type,boo.world
7537,Larry Linville,Wizards,INTP,https://boo.world/database/profile/11456/larry-linville-personality-type,boo.world
7538,Robbie Jones,Wizards,ENTP,https://boo.world/database/profile/16412/robbie-jones-personality-type,boo.world
7539,Julian Holloway,Knights,ESFJ,https://boo.world/database/profile/10176/julian-holloway-personality-type,boo.world
7540,Jared Gilmore,Explorers,ESFP,https://boo.world/database/profile/8478/jared-gilmore-personality-type,boo.world
7541,Brandon Flynn,Explorers,ISFP,https://boo.world/database/profile/2489/brandon-flynn-personality-type,boo.world
7542,Woody Strode,Knights,ISTJ,https://boo.world/database/profile/19951/woody-strode-personality-type,boo.world
7543,Sarah Levy,Knights,ESFJ,https://boo.world/database/profile/17277/sarah-levy-personality-type,boo.world
7544,Nadia Dajani,Wizards,INTJ,https://boo.world/database/profile/14297/nadia-dajani-personality-type,boo.world
7545,Jenny McCarthy,Explorers,ESTP,https://boo.world/database/profile/8885/jenny-mccarthy-personality-type,boo.world
7546,Jim Simpson,Wizards,ENTP,https://boo.world/database/profile/9180/jim-simpson-personality-type,boo.world
7547,Virginia Madsen,Healers,ENFP,https://boo.world/database/profile/19649/virginia-madsen-personality-type,boo.world
